Id,SalePrice
1461,127500.0
1462,145000.0
1463,192000.0
1464,178000.0
1465,210000.0
1466,177000.0
1467,173000.0
1468,177000.0
1469,178000.0
1470,120500.0
1471,187500.0
1472,88000.0
1473,88000.0
1474,148500.0
1475,139400.0
1476,611657.0
1477,232600.0
1478,320000.0
1479,236500.0
1480,466500.0
1481,372500.0
1482,202500.0
1483,176432.0
1484,176000.0
1485,180000.0
1486,185000.0
1487,402000.0
1488,252000.0
1489,224000.0
1490,216500.0
1491,185000.0
1492,93000.0
1493,130500.0
1494,317000.0
1495,315000.0
1496,190000.0
1497,181000.0
1498,148800.0
1499,147400.0
1500,80000.0
1501,177000.0
1502,164700.0
1503,372402.0
1504,227000.0
1505,213000.0
1506,185750.0
1507,129000.0
1508,211000.0
1509,159500.0
1510,157000.0
1511,157000.0
1512,165500.0
1513,171000.0
1514,145000.0
1515,243000.0
1516,158900.0
1517,176000.0
1518,124000.0
1519,213000.0
1520,132500.0
1521,157000.0
1522,167900.0
1523,103000.0
1524,113000.0
1525,62383.0
1526,137000.0
1527,84900.0
1528,133900.0
1529,147500.0
1530,167900.0
1531,107400.0
1532,129900.0
1533,130000.0
1534,120000.0
1535,152000.0
1536,125000.0
1537,58500.0
1538,164000.0
1539,299800.0
1540,128000.0
1541,176500.0
1542,152000.0
1543,159500.0
1544,68500.0
1545,80000.0
1546,124000.0
1547,138000.0
1548,152000.0
1549,91300.0
1550,141500.0
1551,107500.0
1552,157500.0
1553,115000.0
1554,64500.0
1555,175000.0
1556,93000.0
1557,136900.0
1558,80000.0
1559,141000.0
1560,145000.0
1561,131000.0
1562,147000.0
1563,119900.0
1564,162500.0
1565,148000.0
1566,260000.0
1567,68500.0
1568,215000.0
1569,139000.0
1570,134000.0
1571,179500.0
1572,128000.0
1573,221000.0
1574,98600.0
1575,187500.0
1576,215000.0
1577,224000.0
1578,176500.0
1579,135960.0
1580,180000.0
1581,146800.0
1582,129000.0
1583,440000.0
1584,236000.0
1585,140000.0
1586,58500.0
1587,106500.0
1588,157000.0
1589,126000.0
1590,125000.0
1591,118000.0
1592,110500.0
1593,105900.0
1594,169000.0
1595,113000.0
1596,234000.0
1597,142953.0
1598,241500.0
1599,227000.0
1600,213500.0
1601,89000.0
1602,102776.0
1603,100000.0
1604,275000.0
1605,250000.0
1606,171500.0
1607,124000.0
1608,198900.0
1609,224000.0
1610,152000.0
1611,142000.0
1612,152000.0
1613,165000.0
1614,125000.0
1615,75500.0
1616,91500.0
1617,110000.0
1618,119000.0
1619,131000.0
1620,142953.0
1621,81000.0
1622,145000.0
1623,319000.0
1624,215000.0
1625,129000.0
1626,185000.0
1627,192000.0
1628,336000.0
1629,180000.0
1630,538000.0
1631,212000.0
1632,201000.0
1633,180000.0
1634,188000.0
1635,174000.0
1636,162000.0
1637,192140.0
1638,190000.0
1639,181000.0
1640,226000.0
1641,215000.0
1642,224900.0
1643,210000.0
1644,227000.0
1645,157500.0
1646,160000.0
1647,175500.0
1648,149350.0
1649,142000.0
1650,120500.0
1651,110000.0
1652,100000.0
1653,106000.0
1654,155000.0
1655,197900.0
1656,148500.0
1657,155000.0
1658,148500.0
1659,139400.0
1660,146000.0
1661,426000.0
1662,451950.0
1663,385000.0
1664,184750.0
1665,320000.0
1666,319000.0
1667,410000.0
1668,315500.0
1669,315000.0
1670,320000.0
1671,220000.0
1672,466500.0
1673,309000.0
1674,244600.0
1675,194700.0
1676,196000.0
1677,207500.0
1678,466500.0
1679,350000.0
1680,319900.0
1681,264132.0
1682,280000.0
1683,196000.0
1684,180000.0
1685,174000.0
1686,159895.0
1687,162000.0
1688,207000.0
1689,185000.0
1690,184000.0
1691,180000.0
1692,281213.0
1693,180000.0
1694,173000.0
1695,170000.0
1696,320000.0
1697,184900.0
1698,403000.0
1699,402000.0
1700,207500.0
1701,240000.0
1702,256300.0
1703,256300.0
1704,297000.0
1705,232000.0
1706,184750.0
1707,250580.0
1708,250580.0
1709,285000.0
1710,232000.0
1711,318000.0
1712,201000.0
1713,220000.0
1714,302000.0
1715,212000.0
1716,185000.0
1717,191000.0
1718,162000.0
1719,219500.0
1720,275000.0
1721,224500.0
1722,159000.0
1723,155000.0
1724,250580.0
1725,236000.0
1726,200500.0
1727,153900.0
1728,179665.0
1729,173000.0
1730,124000.0
1731,125000.0
1732,147000.0
1733,123000.0
1734,133700.0
1735,138500.0
1736,125000.0
1737,305900.0
1738,239000.0
1739,301000.0
1740,200500.0
1741,196000.0
1742,168500.0
1743,179665.0
1744,307000.0
1745,280000.0
1746,538000.0
1747,176000.0
1748,200000.0
1749,170000.0
1750,157000.0
1751,226000.0
1752,100000.0
1753,152000.0
1754,176000.0
1755,180500.0
1756,120500.0
1757,127500.0
1758,150000.0
1759,167000.0
1760,164500.0
1761,170000.0
1762,180000.0
1763,154000.0
1764,117500.0
1765,170000.0
